year,week,lineup_rank,firstName,lastName,team,opponent,position,salary,sim_win160,actualPoints
2025,12,2,Blaze,Riorden,CHA,RED,G,46,0.9419,15.0
2025,12,2,Michael,Sowers,WAT,WHP,A,48,0.7953,87.0
2025,12,2,CJ,Kirst,WAT,WHP,A,6,0.5398,54.0
2025,12,2,Zach,Currier,WAT,WHP,M,22,0.6433,12.6
2025,12,2,Matt,Brandau,WHP,WAT,M,21,0.4492,-4.0
2025,12,2,Joseph,Nardella,WHP,WAT,FO,26,0.3714,20.0
2025,12,2,Ajax,Zappitello,WHP,WAT,D,27,0.4385,15.0
2025,12,3,Emmet,Carroll,WHP,WAT,G,31,0.8925,25.0
2025,12,3,Owen,Hiltz,CHA,RED,A,32,0.631,39.0
2025,12,3,Michael,Sowers,WAT,WHP,A,48,0.7953,87.0
2025,12,3,Zach,Currier,WAT,WHP,M,22,0.6433,12.6
2025,12,3,Matt,Brandau,WHP,WAT,M,21,0.4492,-4.0
